"School","Type","2013-2014 cohort","2013-2014 rate","2012-2013 cohort","2012-2013 rate","Difference"
"Narbonne Senior High","SENIOR HIGH",634,63,886,59,4
"Diego Rivera Learning Complex Green Design","SENIOR HIGH",79,58,74,54,4
"Amelia Earhart Continuation High School","OPTION",53,25,85,20,4
"Evergreen Continuation High","OPTION",55,11,59,7,4
"Odyssey Continuation High","OPTION",62,11,87,7,4
"Albert Einstein Continuation High School","OPTION",41,7,56,4,4
"Stoney Point Continuation High","OPTION",57,4,75,0,4
"Arleta Senior High","SENIOR HIGH",364,89,434,86,3
"Valley Alternative Magnet","SPAN",45,84,44,82,3
"Sonia Sotomayor Learning Academy La River School","SENIOR HIGH",73,85,71,82,3
"Contreras Lc - Los Angeles School Of Global Studies","SENIOR HIGH",89,79,92,76,3
"East Valley Senior High","SENIOR HIGH",191,63,269,60,3
"Aggeler Opportunity High School","OPTION",32,9,50,6,3
"Newmark Continuation High","OPTION",81,6,63,3,3
"Johnson Community Day School","OPTION",41,5,57,2,3
"London Continuation High","OPTION",44,5,62,2,3
"Harbor Teacher Preparation Academy","SENIOR HIGH",96,98,90,96,2
"Sherman Oaks Center For Enriched Studies Magnet","SPAN",263,92,254,91,2
"Linda Esperanza Marquez Senior High Libra Academy","SENIOR HIGH",104,86,113,84,2
"Dr Maya Angelou Comm Hs Social Justice:Fine & Performing Art","SENIOR HIGH",125,62,120,60,2
"William J Johnston Community Day School","OPTION",52,17,89,16,2
"Ramona Opportunity High School","OPTION",32,9,76,8,2
"Frida Kahlo Continuation High","OPTION",79,10,104,8,2
"Jack London Community Day School","OPTION",13,8,38,5,2
"Boyle Heights Continuation High","OPTION",45,2,50,0,2
"Northridge Academy Senior High","SENIOR HIGH",208,90,281,89,1
"Jordan Senior High","SENIOR HIGH",162,51,286,51,1
"Lewis Continuation High","OPTION",49,6,61,5,1
"Richard A Alonzo Community Day School","OPTION",115,5,186,4,1
"View Park Continuation High","OPTION",64,3,60,2,1
"Secondary Community Day School","OPTION",83,2,189,2,1
"Ramon C Cortines School Of Visual & Performing Arts","SENIOR HIGH",370,79,445,80,0
"Canoga Park Senior High","SENIOR HIGH",398,68,422,68,0
"Roybal LC-Civitas School Of Leadership","SENIOR HIGH",89,51,100,51,0
"Lull Special Education Center","SPED",5,0,5,0,0
"Mcbride Special Education Center","SPED",8,0,9,0,0
"Lowman Special Education Center","SPED",12,0,10,0,0
"Willenberg Special Education Center","SPED",17,0,17,0,0
"Perez Special Education Center","SPED",23,0,22,0,0
"Lanterman High School - Tmr","SPED",17,0,22,0,0
"Leichman High School Special Education Center","SPED",33,0,30,0,0
"Banneker Special Education Center","SPED",27,0,34,0,0
"Los Angeles Center For Enriched Studies Magnet","SPAN",212,94,215,95,-1
"Academy Of Medical Arts At Carson Senior High","SENIOR HIGH",114,86,77,87,-1
"Mc Alister High School","OPTION",79,13,98,13,-1
"Carlson Hospital Home School","SPED",51,0,158,1,-1
"John R Wooden High School","OPTION",61,10,66,12,-2
"Tri-C Community Day School","OPTION",94,1,135,3,-2
"Joaquin Miller Career And Transition Center","SPED",34,0,53,2,-2
"Foshay Learning Center","SPAN",188,94,180,97,-3
"Academy Of Education And Empowerment At Carson Senior High","SENIOR HIGH",148,89,136,93,-3
"West Adams Preparatory Senior High","SENIOR HIGH",433,67,594,69,-3
"Miguel Contreras School Of Business And Tourism","SENIOR HIGH",109,53,248,56,-3
"West Hollywood Community Day School","OPTION",29,38,92,41,-3
"Whitman Continuation High","OPTION",39,3,35,6,-3
"Metropolitan Continuation High","OPTION",84,1,134,4,-3
"Helen Bernstein Senior High","SENIOR HIGH",181,62,247,66,-4
"Jane Addams Continuation High","OPTION",83,8,111,13,-4
"Young Continuation High","OPTION",24,4,48,8,-4
"Widney High School","SPED",28,0,23,4,-4
"Mission Continuation High","OPTION",27,0,52,4,-4
"Avalon Continuation High","OPTION",61,7,36,11,-5
"Central Continuation High","OPTION",230,1,303,7,-6
"Roosevelt Senior High Math/Science Magnet","SENIOR HIGH",85,80,84,87,-7
"Maywood Academy Senior High","SENIOR HIGH",278,72,301,79,-7
"Mount Lukens Continuation High","OPTION",25,0,42,7,-7
"Eagle Tree Continuation High","OPTION",77,12,87,20,-8
"Miguel Leonis Continuation School",,4,0,12,8,-8
"Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag","SENIOR HIGH",87,66,102,75,-9
"Moneta Continuation High","OPTION",36,3,60,12,-9
"Cesar E Chavez Learning Academy - Teacher Prep Academy","SENIOR HIGH",89,51,80,61,-11
"San Antonio Continuation High","OPTION",65,29,93,42,-13
"Esteban Torres East La Performing Arts Magnet","SENIOR HIGH",114,44,122,76,-32
"Belmont SH - Los Angeles Teacher Preparatory Academy","SENIOR HIGH",48,0,84,38,-38
"School of Engineering and Technology at Mendez Learning Center",,8,0,113,68,-68
