"school_name","major_group","grand_total"
"10thStEL","Coaches Instructional",102156
"10thStEL","Common Core State Standards",14400
"10thStEL","Custodial Supplies",5362
"10thStEL","Custodians",168951
"10thStEL","Differentials/Longevities",1436
"10thStEL","General Supplies",11645
"10thStEL","Instructional Materials",6146
"10thStEL","Instructional Materials",10304
"10thStEL","Instructional Materials",42662
"10thStEL","Instructional Materials",55596
"10thStEL","Library Aides",11470
"10thStEL","Nurses",19790
"10thStEL","Nurses",79161
"10thStEL","Parent Involvement",1369
"10thStEL","Parent Involvement",2543
"10thStEL","Parent Involvement",7500
"10thStEL","Psychologists",5220
"10thStEL","Psychologists",52201
"10thStEL","Sped-Allocation To Schools For Compliance",5292
"10thStEL","Sped-Assistants",97271
"10thStEL","Sped-Assistants",237791
"10thStEL","Sped-Ima Allocation To Schools",561
"10thStEL","Sped-Teacher-Resource Specialist Program",101697
"10thStEL","Sped-Teacher-Special Day Program",274050
"10thStEL","Substitutes-Day To Day And Long-Term",3967
"10thStEL","Substitutes-Day To Day And Long-Term",4000
"10thStEL","Substitutes-Day To Day And Long-Term",15700
"10thStEL","Substitutes-Day To Day And Long-Term",82750
"10thStEL","Teacher Assistants",2000
"10thStEL","Teacher Assistants",144668
"10thStEL","Teachers",4026
"10thStEL","Teachers",395816
"10thStEL","Teachers",2446963
"10thStEL","Temporary Personnel Account",15070
"112thStEEC","Early Childhood Development",1004417
"112thStEEC","Housekeepers",59103
"112thStEEC","Instructional Materials",9100
"112thStEEC","Sped-Assistants-Preschool",49500
"112thStEEC","Sped-Teacher-Special Day Program-Preschool",93641
"112thStEL","Administrators (Principals & Assistant Principals)",117457
"112thStEL","Administrators (Principals & Assistant Principals)",134834
"112thStEL","Afterschool Programs",1615
"112thStEL","Afterschool Programs",72185
"112thStEL","Arts Program",19098
"112thStEL","Cafeteria",201557
"112thStEL","Campus Aides",21473
"112thStEL","Categorical Program Advisors",100404
"112thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",476
"112thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",20364
"112thStEL","Clerical Substitutes",804
"112thStEL","Clerical Support",124665
"112thStEL","Custodial Supplies",3866
"112thStEL","Custodians",127062
"112thStEL","General Supplies",7684
"112thStEL","Indirect Cost",3609
"112thStEL","Instructional Aides",10515
"112thStEL","Instructional Materials",1000
"112thStEL","Instructional Materials",5900
"112thStEL","Instructional Materials",6864
"112thStEL","Instructional Materials",23043
"112thStEL","Library Aides",10283
"112thStEL","Nurses",19790
"112thStEL","Nurses",19791
"112thStEL","Parent Involvement",4908
"112thStEL","Parent Involvement",8000
"112thStEL","Parent Involvement",20464
"112thStEL","Psychologists",10441
"112thStEL","Psychologists",15661
"112thStEL","School Readiness Language Development Program",119787
"112thStEL","Sped-Allocation To Schools For Compliance",5292
"112thStEL","Sped-Assistants",194674
"112thStEL","Sped-Assistants-Preschool",148500
"112thStEL","Sped-Ima Allocation To Schools",612
"112thStEL","Sped-Teacher-Resource Specialist Program",95494
"112thStEL","Sped-Teacher-Special Day Program",150882
"112thStEL","Sped-Teacher-Special Day Program-Preschool",163435
"112thStEL","Substitutes-Day To Day And Long-Term",49139
"112thStEL","Teacher Assistants",2000
"112thStEL","Teacher Assistants",57874
"112thStEL","Teachers",7418
"112thStEL","Teachers",1646111
"112thStEL","Temporary Personnel Account",9944
"116thStEL","Administrators (Principals & Assistant Principals)",128347
"116thStEL","Advisors",47967
"116thStEL","Afterschool Programs",1615
"116thStEL","Afterschool Programs",72185
"116thStEL","Arts Program",38196
"116thStEL","Cafeteria",112032
"116thStEL","Campus Aides",21030
"116thStEL","Categorical Program Advisors",58763
"116thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",600
"116thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",1163
"116thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",11831
"116thStEL","Clerical Substitutes",858
"116thStEL","Clerical Support",124665
"116thStEL","Coaches Instructional",102155
"116thStEL","Common Core State Standards",5248
"116thStEL","Counselors, Pupil Services & Attendance (Psa)",20880
"116thStEL","Custodial Supplies",3976
"116thStEL","Custodians",121689
"116thStEL","Differentials/Longevities",718
"116thStEL","Employee Benefits/Adjustments/Public Employee Retirements",-8567
"116thStEL","Employee Benefits/Adjustments/Public Employee Retirements",-8567
"116thStEL","General Supplies",10734
"116thStEL","Indirect Cost",3609
"116thStEL","Instructional Materials",1000
"116thStEL","Instructional Materials",7000
"116thStEL","Instructional Materials",8003
"116thStEL","Instructional Materials",12780
"116thStEL","Library Aides",10283
"116thStEL","Library Aides",11470
"116thStEL","Nurses",19790
"116thStEL","Nurses",19791
"116thStEL","Parent Involvement",5184
"116thStEL","Parent Involvement",5392
"116thStEL","Psychiatric Social Workers",20880
"116thStEL","Psychologists",5220
"116thStEL","School Readiness Language Development Program",94642
"116thStEL","Sped-Allocation To Schools For Compliance",3953
"116thStEL","Sped-Assistants",95674
"116thStEL","Sped-Assistants",211220
"116thStEL","Sped-Ima Allocation To Schools",447
"116thStEL","Sped-Teacher-Resource Specialist Program",58784
"116thStEL","Sped-Teacher-Special Day Program",200651
"116thStEL","Substitutes-Day To Day And Long-Term",6420
"116thStEL","Substitutes-Day To Day And Long-Term",7282
"116thStEL","Substitutes-Day To Day And Long-Term",62890
"116thStEL","Teacher Assistants",1000
"116thStEL","Teacher Assistants",81246
"116thStEL","Teachers",1835586
"116thStEL","Temporary Personnel Account",7559
"116thStEL","Temporary Personnel Account",15117
"118thStEL","Administrators (Principals & Assistant Principals)",138119
"118thStEL","Advisors",102343
"118thStEL","Arts Program",38196
"118thStEL","Cafeteria",112032
"118thStEL","Campus Aides",21030
"118thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",2161
"118thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",3001
"118thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",3781
"118thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",18972
"118thStEL","Clerical Substitutes",1054
"118thStEL","Clerical Support",4000
"118thStEL","Clerical Support",124665
"118thStEL","Coaches Instructional",102156
"118thStEL","Common Core State Standards",120
"118thStEL","Counselors, Pupil Services & Attendance (Psa)",20880
"118thStEL","Custodial Overtime & Relief",4000
"118thStEL","Custodial Supplies",9000
"118thStEL","Custodians",122616
"118thStEL","Differentials/Longevities",2615
"118thStEL","General Supplies",17558
"118thStEL","Instructional Materials",1000
"118thStEL","Instructional Materials",1000
"118thStEL","Instructional Materials",3000
"118thStEL","Instructional Materials",28727
"118thStEL","Library Aides",10283
"118thStEL","Nurses",19790
"118thStEL","Nurses",39580
"118thStEL","Parent Involvement",5916
"118thStEL","Parent Involvement",7092
"118thStEL","Psychologists",5220
"118thStEL","Psychologists",10440
"118thStEL","School Readiness Language Development Program",119148
"118thStEL","Sped-Allocation To Schools For Compliance",3379
"118thStEL","Sped-Assistants",89291
"118thStEL","Sped-Assistants",210876
"118thStEL","Sped-Ima Allocation To Schools",281
"118thStEL","Sped-Teacher-Resource Specialist Program",100075
"118thStEL","Sped-Teacher-Special Day Program",171769
"118thStEL","Substitutes-Day To Day And Long-Term",23625
"118thStEL","Substitutes-Day To Day And Long-Term",58144
"118thStEL","Teacher Assistants",39481
"118thStEL","Teacher Assistants",64135
"118thStEL","Teachers",2051472
"118thStEL","Temporary Personnel Account",12750
"118thStEL","Temporary Personnel Account",19790
"122ndStEL","Administrators (Principals & Assistant Principals)",131437
"122ndStEL","Arts Program",38196
"122ndStEL","Cafeteria",147463
"122ndStEL","Campus Aides",21030
"122ndStEL","Categorical Program Advisors",100390
"122ndStEL","Certificated Supplemental Time (X, Z, & Professional Development)",2000
"122ndStEL","Certificated Supplemental Time (X, Z, & Professional Development)",8584
"122ndStEL","Certificated Supplemental Time (X, Z, & Professional Development)",27610
"122ndStEL","Clerical Substitutes",1254
"122ndStEL","Clerical Support",5000
"122ndStEL","Clerical Support",165850
"122ndStEL","Coaches Instructional",59375
"122ndStEL","Common Core State Standards",49700
"122ndStEL","Counselors, Pupil Services & Attendance (Psa)",20880
"122ndStEL","Counselors, Pupil Services & Attendance (Psa)",20880
"122ndStEL","Custodial Supplies",3820
"122ndStEL","Custodians",38180
"122ndStEL","Custodians",127062
"122ndStEL","Differentials/Longevities",1036
"122ndStEL","Differentials/Longevities",10052
"122ndStEL","General Supplies",6068
"122ndStEL","Instructional Aides",9446
"122ndStEL","Instructional Materials",1000
"122ndStEL","Instructional Materials",4000
"122ndStEL","Instructional Materials",34250
"122ndStEL","Instructional Materials",75950
"122ndStEL","Library Aides",11470
"122ndStEL","Nurses",19790
"122ndStEL","Nurses",19790
"122ndStEL","Nurses",19790
"122ndStEL","Parent Involvement",7200
"122ndStEL","Parent Involvement",17422
"122ndStEL","Psychologists",5220
"122ndStEL","Psychologists",31320
"122ndStEL","Reasonable Accommodations",25654
"122ndStEL","School Readiness Language Development Program",101844
"122ndStEL","Sped-Allocation To Schools For Compliance",5802
"122ndStEL","Sped-Assistants",93620
"122ndStEL","Sped-Assistants",341362
"122ndStEL","Sped-Ima Allocation To Schools",625
"122ndStEL","Sped-Teacher-Resource Specialist Program",100430
"122ndStEL","Sped-Teacher-Special Day Program",374224
"122ndStEL","Substitutes-Day To Day And Long-Term",2000
"122ndStEL","Substitutes-Day To Day And Long-Term",4000
"122ndStEL","Substitutes-Day To Day And Long-Term",53622
"122ndStEL","Teacher Assistants",33070
"122ndStEL","Teacher Assistants",64135
"122ndStEL","Teachers",2325
"122ndStEL","Teachers",10000
"122ndStEL","Teachers",2478067
"122ndStEL","Temporary Personnel Account",15444
"135thStEL","Administrators (Principals & Assistant Principals)",128347
"135thStEL","Advisors",101697
"135thStEL","Afterschool Programs",897
"135thStEL","Afterschool Programs",2153
"135thStEL","Afterschool Programs",20530
"135thStEL","Afterschool Programs",110124
"135thStEL","Arts Program",38196
"135thStEL","Cafeteria",112032
"135thStEL","Campus Aides",21473
"135thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",848
"135thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",1470
"135thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",5359
"135thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",22041
"135thStEL","Clerical Substitutes",1424
"135thStEL","Clerical Support",2000
"135thStEL","Clerical Support",179494
"135thStEL","Coaches Instructional",22097
"135thStEL","Coaches Instructional",81342
"135thStEL","Coaches Instructional",204312
"135thStEL","Counselors, Pupil Services & Attendance (Psa)",20880
"135thStEL","Custodial Overtime & Relief",2000
"135thStEL","Custodial Supplies",5246
"135thStEL","Custodians",38180
"135thStEL","Custodians",121689
"135thStEL","Differentials/Longevities",1436
"135thStEL","General Supplies",14127
"135thStEL","Indirect Cost",1071
"135thStEL","Indirect Cost",5506
"135thStEL","Instructional Materials",2000
"135thStEL","Instructional Materials",12160
"135thStEL","Instructional Materials",46432
"135thStEL","Library Aides",11470
"135thStEL","Nurses",19790
"135thStEL","Nurses",19791
"135thStEL","Parent Involvement",1831
"135thStEL","Parent Involvement",9156
"135thStEL","Psychologists",5220
"135thStEL","Psychologists",62640
"135thStEL","School Readiness Language Development Program",230330
"135thStEL","Sped-Allocation To Schools For Compliance",9308
"135thStEL","Sped-Assistants",92617
"135thStEL","Sped-Assistants",334455
"135thStEL","Sped-Ima Allocation To Schools",1403
"135thStEL","Sped-Teacher-Resource Specialist Program",102343
"135thStEL","Sped-Teacher-Special Day Program",348292
"135thStEL","Sped-Teacher-Special Day Program-Preschool",170332
"135thStEL","Substitutes-Day To Day And Long-Term",4965
"135thStEL","Substitutes-Day To Day And Long-Term",102610
"135thStEL","Teacher Assistants",16327
"135thStEL","Teacher Assistants",192405
"135thStEL","Teachers",3039030
"135thStEL","Temporary Personnel Account",18282
"153rdStEL","Administrators (Principals & Assistant Principals)",134834
"153rdStEL","Advisors",54650
"153rdStEL","Arts Program",19098
"153rdStEL","Cafeteria",120347
"153rdStEL","Campus Aides",21030
"153rdStEL","Categorical Program Advisors",58763
"153rdStEL","Certificated Supplemental Time (X, Z, & Professional Development)",11107
"153rdStEL","Certificated Supplemental Time (X, Z, & Professional Development)",19603
"153rdStEL","Clerical Substitutes",690
"153rdStEL","Clerical Support",112043
"153rdStEL","Common Core State Standards",26320
"153rdStEL","Custodial Supplies",3551
"153rdStEL","Custodians",127062
"153rdStEL","Differentials/Longevities",718
"153rdStEL","General Supplies",6545
"153rdStEL","Instructional Materials",1000
"153rdStEL","Instructional Materials",5776
"153rdStEL","Instructional Materials",5910
"153rdStEL","Instructional Materials",10000
"153rdStEL","Library Aides",10283
"153rdStEL","Nurses",19790
"153rdStEL","Nurses",19791
"153rdStEL","Parent Involvement",1000
"153rdStEL","Parent Involvement",3336
"153rdStEL","Psychiatric Social Workers",20880
"153rdStEL","Psychologists",5220
"153rdStEL","Psychologists",20880
"153rdStEL","School Readiness Language Development Program",113152
"153rdStEL","Sped-Allocation To Schools For Compliance",5292
"153rdStEL","Sped-Assistants",188291
"153rdStEL","Sped-Assistants-Preschool",93945
"153rdStEL","Sped-Ima Allocation To Schools",638
"153rdStEL","Sped-Teacher-Resource Specialist Program",90729
"153rdStEL","Sped-Teacher-Special Day Program",187417
"153rdStEL","Sped-Teacher-Special Day Program-Preschool",284411
"153rdStEL","Substitutes-Day To Day And Long-Term",1850
"153rdStEL","Substitutes-Day To Day And Long-Term",8175
"153rdStEL","Substitutes-Day To Day And Long-Term",10175
"153rdStEL","Substitutes-Day To Day And Long-Term",49650
"153rdStEL","Teacher Assistants",10690
"153rdStEL","Teacher Assistants",10690
"153rdStEL","Teachers",1405697
"153rdStEL","Telephone",300
"153rdStEL","Temporary Personnel Account",8470
"156thStEL","Administrators (Principals & Assistant Principals)",131969
"156thStEL","Arts Program",19098
"156thStEL","Cafeteria",80177
"156thStEL","Campus Aides",21473
"156thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",402
"156thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",11993
"156thStEL","Classified Overtime, X & Z Time",2000
"156thStEL","Clerical Substitutes",736
"156thStEL","Clerical Support",124665
"156thStEL","Counselors, Pupil Services & Attendance (Psa)",2500
"156thStEL","Counselors, Pupil Services & Attendance (Psa)",7941
"156thStEL","Custodial Overtime & Relief",275
"156thStEL","Custodial Supplies",3615
"156thStEL","Custodians",124334
"156thStEL","Differentials/Longevities",1436
"156thStEL","General Supplies",6562
"156thStEL","Instructional Materials",4690
"156thStEL","Instructional Materials",6016
"156thStEL","Instructional Materials",11527
"156thStEL","Library Aides",10283
"156thStEL","Nurses",19790
"156thStEL","Parent Involvement",2000
"156thStEL","Parent Involvement",8442
"156thStEL","Psychologists",5220
"156thStEL","Psychologists",10441
"156thStEL","Sped-Allocation To Schools For Compliance",2168
"156thStEL","Sped-Assistants",49500
"156thStEL","Sped-Assistants",194674
"156thStEL","Sped-Ima Allocation To Schools",128
"156thStEL","Sped-Teacher-Resource Specialist Program",104597
"156thStEL","Sped-Teacher-Special Day Program",194071
"156thStEL","Substitutes-Day To Day And Long-Term",1570
"156thStEL","Substitutes-Day To Day And Long-Term",49650
"156thStEL","Teacher Assistants",183
"156thStEL","Teacher Assistants",64135
"156thStEL","Teachers",1461981
"156thStEL","Temporary Personnel Account",8492
"15thStEL","Administrators (Principals & Assistant Principals)",139630
"15thStEL","Advisors",104867
"15thStEL","Afterschool Programs",897
"15thStEL","Afterschool Programs",1615
"15thStEL","Afterschool Programs",14183
"15thStEL","Afterschool Programs",84318
"15thStEL","Arts Program",38196
"15thStEL","Cafeteria",198198
"15thStEL","Campus Aides",21473
"15thStEL","Categorical Program Advisors",58763
"15thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",31352
"15thStEL","Classified Overtime, X & Z Time",2791
"15thStEL","Clerical Substitutes",962
"15thStEL","Clerical Support",124665
"15thStEL","Coordinators",49478
"15thStEL","Custodial Supplies",4197
"15thStEL","Custodians",124334
"15thStEL","Differentials/Longevities",718
"15thStEL","Differentials/Longevities",1436
"15thStEL","Employee Benefits/Adjustments/Public Employee Retirements",-8567
"15thStEL","Employee Benefits/Adjustments/Public Employee Retirements",-8567
"15thStEL","General Supplies",8976
"15thStEL","Indirect Cost",754
"15thStEL","Indirect Cost",4216
"15thStEL","Instructional Materials",1000
"15thStEL","Instructional Materials",8208
"15thStEL","Instructional Materials",18727
"15thStEL","Instructional Materials",28859
"15thStEL","Library Aides",11470
"15thStEL","Nurses",19790
"15thStEL","Nurses",19791
"15thStEL","Parent Involvement",5460
"15thStEL","Parent Involvement",8724
"15thStEL","Psychiatric Social Workers",10441
"15thStEL","Psychologists",5220
"15thStEL","Psychologists",10440
"15thStEL","Psychologists",10440
"15thStEL","School Readiness Language Development Program",122714
"15thStEL","Sped-Allocation To Schools For Compliance",2359
"15thStEL","Sped-Assistants",184965
"15thStEL","Sped-Ima Allocation To Schools",230
"15thStEL","Sped-Teacher-Resource Specialist Program",102343
"15thStEL","Sped-Teacher-Special Day Program",194448
"15thStEL","Sped-Teacher-Suppl & Sub Time/Renorming/Prof Development",16488
"15thStEL","Substitutes-Day To Day And Long-Term",2013
"15thStEL","Substitutes-Day To Day And Long-Term",66200
"15thStEL","Substitutes-Day To Day And Long-Term",69510
"15thStEL","Teacher Assistants",12832
"15thStEL","Teachers",2100735
"15thStEL","Temporary Personnel Account",11616
"186thStEL","Administrators (Principals & Assistant Principals)",142984
"186thStEL","Advisors",49478
"186thStEL","Arts Program",38196
"186thStEL","Cafeteria",171326
"186thStEL","Campus Aides",21030
"186thStEL","Categorical Program Advisors",98954
"186thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",11515
"186thStEL","Certificated Supplemental Time (X, Z, & Professional Development)",15803
"186thStEL","Classified Overtime, X & Z Time",3000
"186thStEL","Clerical Substitutes",1494
"186thStEL","Clerical Support",40828
"186thStEL","Clerical Support",179494
"186thStEL","Coordinators",49478
"186thStEL","Counselors, Pupil Services & Attendance (Psa)",10441
"186thStEL","Custodial Overtime & Relief",2000
"186thStEL","Custodial Supplies",200
"186thStEL","Custodial Supplies",5734
"186thStEL","Custodians",141869
"186thStEL","English Learner Implementation And Support",21030
"186thStEL","General Supplies",14025
"186thStEL","Instructional Aides",17003
"186thStEL","Instructional Aides",33186
"186thStEL","Instructional Materials",1000
"186thStEL","Instructional Materials",11246
"186thStEL","Instructional Materials",12416
"186thStEL","Instructional Materials",54641
"186thStEL","Library Aides",11470
"186thStEL","Nurses",19790
"186thStEL","Nurses",19791
"186thStEL","Parent Involvement",77
"186thStEL","Parent Involvement",7453
"186thStEL","Parent Involvement",8184
"186thStEL","Psychologists",5220
"186thStEL","Psychologists",20880
"186thStEL","School Readiness Language Development Program",114774
"186thStEL","Sped-Allocation To Schools For Compliance",6885
"186thStEL","Sped-Assistants",95674
"186thStEL","Sped-Assistants",360275
"186thStEL","Sped-Ima Allocation To Schools",740
"186thStEL","Sped-Teacher-Resource Specialist Program",133390
"186thStEL","Sped-Teacher-Special Day Program",337362
"186thStEL","Substitutes-Day To Day And Long-Term",3310
"186thStEL","Substitutes-Day To Day And Long-Term",6620
"186thStEL","Substitutes-Day To Day And Long-Term",8275
"186thStEL","Substitutes-Day To Day And Long-Term",102610
"186thStEL","Teacher Assistants",38486
"186thStEL","Teacher Assistants",83378
"186thStEL","Teachers",1624
"186thStEL","Teachers",3208
"186thStEL","Teachers",2890954
"186thStEL","Temporary Personnel Account",18150
"186thStElCSPP","Early Childhood Development",118229
"1stEL","Administrators (Principals & Assistant Principals)",142984
"1stEL","Advisors",98954
"1stEL","Afterschool Programs",687
"1stEL","Afterschool Programs",2153
"1stEL","Afterschool Programs",9834
"1stEL","Afterschool Programs",101735
"1stEL","Arts Program",38196
"1stEL","Cafeteria",237788
"1stEL","Campus Aides",21030
"1stEL","Certificated Supplemental Time (X, Z, & Professional Development)",848
"1stEL","Certificated Supplemental Time (X, Z, & Professional Development)",6985
"1stEL","Certificated Supplemental Time (X, Z, & Professional Development)",26658
"1stEL","Clerical Substitutes",1304
"1stEL","Clerical Support",57829
"1stEL","Clerical Support",121844
"1stEL","Coaches Instructional",22097
"1stEL","Coaches Instructional",81342
"1stEL","Common Core State Standards",52570
"1stEL","Coordinators",98954
"1stEL","Counselors, Pupil Services & Attendance (Psa)",20880
"1stEL","Custodial Supplies",4980
"1stEL","Custodians",38180
"1stEL","Custodians",127062
"1stEL","Differentials/Longevities",1436
"1stEL","Differentials/Longevities",2423
"1stEL","General Supplies",12087
"1stEL","Indirect Cost",526
"1stEL","Indirect Cost",5087
"1stEL","Instructional Aides",9446
"1stEL","Instructional Materials",1000
"1stEL","Instructional Materials",10944
"1stEL","Instructional Materials",12332
"1stEL","Instructional Materials",39194
"1stEL","Library Aides",11470
"1stEL","Mileage & Tuition Reimbursement",295
"1stEL","Nurses",19790
"1stEL","Nurses",39580
"1stEL","Parent Involvement",1000
"1stEL","Parent Involvement",7788
"1stEL","Physical Education Teacher Incentive",18728
"1stEL","Psychiatric Social Workers",20880
"1stEL","Psychologists",5220
"1stEL","Psychologists",20880
"1stEL","School Readiness Language Development Program",115420
"1stEL","Sped-Allocation To Schools For Compliance",4272
"1stEL","Sped-Assistants",153895
"1stEL","Sped-Educationally Related Mental Health Services",192641
"1stEL","Sped-Ima Allocation To Schools",357
"1stEL","Sped-Teacher-Resource Specialist Program",99344
"1stEL","Sped-Teacher-Special Day Program",153600
"1stEL","Substitutes-Day To Day And Long-Term",4965
"1stEL","Substitutes-Day To Day And Long-Term",5296
"1stEL","Substitutes-Day To Day And Long-Term",89370
"1stEL","Teacher Assistants",132315
"1stEL","Teachers",1604
"1stEL","Teachers",3609
"1stEL","Teachers",2752879
"1stEL","Temporary Personnel Account",15642
"20thStEL","Administrators (Principals & Assistant Principals)",141475
"20thStEL","Advisors",100430
"20thStEL","Afterschool Programs",1615
"20thStEL","Afterschool Programs",89068
"20thStEL","Arts Program",38196
"20thStEL","Cafeteria",157691
