Organization,Mission,Location,Phone,Email,Serves,Website,Affiliation,Need
A Place Called Home,A Place Called Home is a safe haven in South Central Los Angeles that serves low-income youth.,"2830 South Central Ave., Los Angeles, CA 90011",(323) 232-7653,volunteer@apch.org,youth,http://www.apch.org,,"Volunteer Time, Canned Goods "
Spiral Foundation,"Spiral Foundation helps people in Nepal and Vietnam, as well as refugees, create goods out of recycled materials and then sells those goods out of the founder's home in November and December.","211 Vance St., Pacific Palisades, CA 90272",(310) 459-6671,,Vietnam and Nepal,http://www.spiralfoundation.org,Asian,Money
A Community Of Friends,"A Community Of Friends is a provider of permanent supportive housing to individuals and families who struggle with mental illness, substance abuse, and physical disabilities to help stabilize these households and reintegrate back into society.","3701 Wilshire Blvd., Suite 700, Los Angeles, CA 90010",(213) 480-0809,,"mentally ill, disabled",http://www.acof.org/,,"Volunteer Time, Money"
AIDS Project Los Angeles,AIDS Project Los Angeles is a comprehensive service provider for L.A. County residents living with and at risk of HIV/AIDS who will assist 150 households move into permanent housing through the rapid re-housing program.,"611 S. Kingsley Drive, Los Angeles, CA 90005",(213) 201-1600,,AIDs victims,http://www.apla.org/,,Money
All Peoples Christian Center,"Tomorrow’s Leaders is an after school enrichment program providing academic and social development activities to promote educational success for 80 at-risk, middle school youth living in South Los Angeles.","822 East 20th St., Los Angeles, CA 90011",(213) 747-6357,,youth,http://www.allpeoplescc.org/,Christian,Volunteer Time
Ascencia,"Ascencia transitions chronically homeless adults into permanent housing with wrap around services and additional services that include psychiatry, trauma therapy, and stress reduction.","437 Fernando Court, Glendale, CA 91204",(818) 246-7900,,homeless,http://www.achieveglendale.org/,,"Volunteer Time, Money"
Asian Youth Center,"Serves the social services needs of youth and families, with a focus on Asian immigrants. Their programs enable those we serve to adapt and contribute to a multi-cultural society.","100 West Clary Ave., San Gabriel, CA 91776",(323) 225-5898,,Asian youth,http://www.asianyouthcenter.org/,Asian-American,Volunteer Time
Boys & Girls Club of Antelope Valley,Offers a place where children can find support and resources to discover and achieve their full potential.,"P.O. Box 10047, Los Angeles, CA 93584-2047",,,youth,http://www.avbgc.org/,,"Volunteer Time, Money"
Boys & Girls Club of Burbank and Greater East Valley,Provides an after school program - the Project Learn Program - which reinforces skills and knowledge that young people are learning at school.,"2244 N Buena Vista St, Burbank, CA 91504-3308",(818) 842-9333,,youth,http://www.bgcburbank.org/,,"Volunteer Time, Money"
Boys & Girls Club of San Fernando Valley,"Youth and family oriented organization dedicated to promoting the educational, vocational, social and character development of boys and girls between the ages of 7 and 18.","11251 Glenoaks Blvd, Pacoima, CA 91331",(818) 896-5261,,youth,http://http//www.bgcsfv.org/,,"Volunteer Time, Money"
Boys & Girls Club of Venice,"Boys and Girls Club of Venice works to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens. They will be working with Mark Twain Middle School students to provide homework help and tutoring, career planning, and case management.","2232 Lincoln Blvd., Venice, CA, 90291",(310) 390-4477,,youth,http://www.bgcv.org/,,"Volunteer Time, Money"
Boys & Girls Club of West San Gabriel Valley,"The goal of the Boys & Girls Club of West San Gabriel Valley is  to provide every child with the essential tools needed for a successful and bright future. Providing a comprehensive program that helps at-risk students successfully transition from middle to high school and increases postsecondary options and college prep, while educating parents to become better informed regarding their children’s academic pursuits. ","328 South Ramona Ave, Monterey Park, CA 91754",,amiranda@wsgvbgc.org,youth,http://www.wsgvbgc.org/,,"Volunteer Time, Money"
Boys & Girls Club of Whittier,"The Boys and Girls Club of Whittier will continue to create Pathways out of Poverty for more than 2,000 Club members. Through Goals For Graduation, 250 middle schoolers will receive a minimum of five hours per week of additional academic and enrichment support through the Boys & Girls Club of Whittier.","7905 S. Greenleaf Ave., Whitter, CA 90602",(562) 945-3787,,youth,http://www.bgcw.org/,,"Volunteer Time, Money"
Boys & Girls Clubs of Carson,The Boys & Girls Clubs of Carson’s AIM (Achievement In Middle School) Program provides targeted programs and activities that attract and engage middle school youth. AIM provides support and resource to help prepare middle school youth for success in high school and assists them with the transition.,"1950 E. 220th St. Suite 102, Long Beach, CA 90810",(310) 522-0500,,youth,http://www.bgccarson.org/,,"Volunteer Time, Money"
Boys & Girls Clubs of the Los Angeles Harbor,"Boys and Girls Club of the LA Harbor’s mission is to enable all young people, especially those that need us the most, College Bound will provide 1,100 youth (grades 6 – 12) with academic case management, academic support, and a variety of resources and college pathway activities.","1200 S. Cabrillo Ave., San Pedro, CA 90731",(310) 833-1322,,youth,http://www.bgclaharbor.org/,,"Volunteer Time, Money"
Boys & Girls Clubs of the South Bay,"The Boys & Girls Clubs of the South Bay’s (BGCSB) Club College provides students (6th to 12th grade) and their parents with the necessary tools, information, and support to successfully transition from middle school to high school and prepares them for success after high school graduation.","1220 West 256th St. Harbor City, CA 90710",(310) 534-0056,,youth,http://www.southbayclubs.org/,,"Volunteer Time, Money"
"Catholic Charities of Los Angeles, Inc.","Provides clients with job skills training, employment support, job retention coaching and guidance leading to sustainable careers in allied health professions where they will have opportunities for growth and advancement.","1531 James M. Wood Blvd., Los Angeles, CA 90015",(213) 251-3400,,poor,http://www.catholiccharitiesla.org/,Catholic,Money
Child & Family Guidance Center,Supports vulnerable children and low-income families that face major barriers to self-sufficiency.,"9650 Zelzah Ave., Northridge, CA 91325",(818) 993-9311,,poor children and families,http://www.childguidance.org/,,Money
Children's Bureau of Southern California,"The partnership between Children’s Bureau and Right Way Foundation helps to create a true pathway out of poverty for the Magnolia neighborhood by providing training and support to secure living-wage jobs in careers such as healthcare, energy efficiency, transportation and bioinformatics.","1910 Magnolia Ave., Los Angeles, CA 90007",,,,http://www.all4kids.org/,,"Volunteer Time, Money, Gifts"
Communities for Teaching Excellence,"Communities for Teaching Excellence is a new national initiative with the mission of improving students’ academic achievement and their future outcomes by empowering communities to advocate for an effective teacher for every student, in every classroom, every year.","448 South Hill St., Suite 408, Los Angeles, CA 90013",,,youth,http://4teachingexcellence.org/who-we-are/our-communities/los-angeles-ca,,Volunteer Time
Community Coalition,"Community Coalition works to help transform the social and economic conditions in South L.A. that foster addiction, crime, violence and poverty by building a community institution that involves thousands in creating, influencing and changing public policy.","8101 S. Vermont Ave., Los Angeles, CA 90044",(323) 750-9087,,South Los Angeles,http://www.cocosouthla.org/,,"Volunteer Time, Money"
"Door of Hope, Inc.","Headquartered in Pasadena, Door of Hope provides rapid rehousing and housing placement services to homeless families throughout the San Gabriel Valley in partnership with Union Station Homeless Services and other San Gabriel Valley agencies.","P.O. Box 90455, Pasadena, CA 91109-8964",,anne@doorofhope.us,homeless,http://www.doorofhope.us/,,Volunteer Time
Families In Schools,Involves parents and communities in their children’s education to achieve lifelong success.,"1545 Wilshire Blvd., Suite 700, Los Angeles, CA 90017",(213) 201-3900,,youth,http://www.familiesinschools.org/,,Volunteer Time
"Harbor Interfaith Services, Inc.  ","Provides immediate relief to homeless families in South Bay through temporary residential facilities and assists these families in transition into permanent housing through rental assistance, financial coaching, and housing placement services.","670 W. Ninth St., San Pedro, CA 90731",(310) 831-0589,,homeless,http://www.harborinterfaith.org/,Interfaith,Money
Heart of Los Angeles Youth,"Helps middle school students through integrated programming which emphasizes commitment to academics, leadership, team building, and self expression.","2701 Wilshire Blvd., Suite 100, Los Angeles, CA 90057",(213) 389-1148,,children,http://www.heartofla.org/,,"Volunteer Time, Money"
Homes for Life Foundation,"Provides an expanded network of permanent, affordable, service-enriched housing within the geographic boundaries of Los Angeles County for homeless individuals who suffer from chronic mental illness.","8939 S Sepulveda Blvd., Suite 460, Los Angeles, CA 90045-3653",(310) 337-7417,info@homesforlife.org,homeless,http://homesforlife.org/,,Money
Imagine LA,"Mobilizes volunteers from the faith community to end family homelessness. “Budget Mentors” work with families to help ensure a successful transition to permanent housing. Each family is provided regular coaching and supports in the areas of budgeting, credit repair, meal-planning, record-keeping, banking, and tax preparation.","5455 Wilshire Blvd., Suite 1001, Los Angeles, CA 90036",(323) 944-0210,lisa@imaginela.org,homeless families,http://www.imaginela.org/,Christian,"Volunteer Time, Canned Goods, Money"
InnerCity Struggle,Educates and empowers students & parents to be agents of change in addressing educational inequities in their communities. Their goal is to ensure that all Eastside students graduate HS and are prepared for college and the 21st century workforce.,"124 North Townsend Ave., Los Angeles, CA 90063",(323) 780-7605,,children,http://www.innercitystruggle.org/,,Volunteer Time
Koreatown Youth and Community Center (KYCC),"Provides intensive financial case management and a range of tools like Ramp-Up savings, certified tax preparation, and small business counseling to help grow assets. It also offers youth-oriented financial education and savings programs.
","3727 W. 6th St. Suite 300, Los Angeles, CA 90020",(213) 365-7400,,children,http://www.kyccla.org/,Koreatown area,Volunteer Time
Lamp Community,"Provides permanent supportive housing to residents facing many social challenges such as mental health, substance abuse disorder, or dual-diagnosis, their New Lease on Life Permanent Supportive Housing Program links clinical and social services for more than 350 homeless and chronically homeless adults each year.","526 San Pedro St., Los Angeles, CA 90013",(213) 488-9559,,,http://www.lampcommunity.org/,,"Volunteer Time, Money"
Los Angeles Urban League,"Enable African Americans and other minorities to secure economic self-reliance, parity, power and civil rights through advocacy activities and the provision of programs and services in our uniquely diversified city and region.","3450 Mount Vernon Drive, Los Angeles, CA 90008",,,poor,http://www.laul.org/,African American,"Volunteer Time, Money"
Peace Over Violence,"Assists formerly incarcerated, homeless women reintegrate back into society and secure permanent housing through case management, 12-step recovery, family reunification, and legal assistance.","1015 Wilshire Blvd., Suite 200, Los Angeles, CA 90017",(213) 955-9090,,"ex-convict women, homeless women",http://www.peaceoverviolence.org/,,Money
Inner-City Arts,"Inner-City Arts is an oasis of learning, achievement and creativity in the heart of Skid Row, and a vital partner in the work of creating a safer, healthier Los Angeles.","720 Kohler St. Los Angeles, CA 90021  ",(213) 627-9621,,youth,http://inner-cityarts.org/,,"Money, Volunteer Time"
LA Junior Chamber of Commerce,"Empowers young professionals of Greater Los Angeles, ages 21-40, through professional enrichment, leadership development and community service.","750 East 49th St. Los Angeles, CA 90011",(213) 680-8017,kquick@lajcc.org,kids,http://www.lajcc.org,,Volunteer Time
Inside Out Community Arts,Inside Out’s programs were developed in response to a need for violence-prevention after school programs for middle school youth following the Los Angeles civil unrest of 1992.,"608 Venice Blvd., Venice, CA 90291",(310) 397-8820,ldeck@insideoutca.org,"low income, at-risk children",http://www.insideoutca.org,,"Volunteer Time, Money, Donate Professional Services; Production/ Event Support"
Foundation for Second Chances,"The Foundation for Second Chances' mission is to utilize hands-on education, mentoring, health, awareness and community service to maximize the potential of youth.","453 South Spring St., Suite 839, Los Angeles, CA 90013",(213) 627-1745,,"children, youth",http://www.ffscinc.org,,Volunteer Time
The Children's Clinic,"Offers daily, full service health care with primary care services for children, adolescents and adults.","2790 Atlantic Ave., Long Beach, CA 90806",(562) 264-4656,hpace@thechildrensclinic.org,"uninsured/underinsured families, homeless families, children",http://www.thechildrensclinic.org/,,"Money, Toys (Gifts), Youth and Children's Books"
The Midnight Mission,"Offers a bridge to self-sufficiency for homeless  people through counseling, education, training and job placement and to make available the necessities of life to homeless people: food, shelter, clothing, personal hygiene needs, and medical care.
","601 South San Pedro St., Los Angeles, California 90014 ",(213) 624-9258,,"homeless families, children",http://www.midnightmission.org,,"Volunteer Time, Money, Gifts for Families and Children, Clothes and like-new household items, Food"
St. Vincent Meals on Wheels,Prepares and delivers nutritious meals to homebound seniors and other vulnerable residents across Los Angeles.,"2131 West Third St., Los Angeles, CA 90057",(213) 484-7494,volunteers@stvincentmow.org,"elderly, homeless",http://www.stvincentmow.org/,"Catholic, Christian","Volunteer Time, Financial Contribution"
Cause for Celebration,Cause for Celebration provides birthday parties to low income children and families.,"P.O. Box 78805, Los Angeles, CA 90016",(323) 455-4235,,"children, youth, homeless, women",http://www.cause4celebration.org,,
Union Station Homeless Services,"Union Station Homeless Services' mission is to help, men, women and children rebuild their lives and end homelessness. Union Station operates seven programs to help homeless adults and families achieve self-sufficiency.","825 East Orange Grove Blvd., Pasadena, California 91104",(626) 240-4550,volunteer@unionstationhs.org,"homeless families, children",http://www.unionstationhs.org/,,"Financial Contributions, Volunteer Time"
The Help Group,"Serves children with special needs related to autism spectrum disorders, learning disabilities, ADHD, developmental delays, abuse and emotional problems.","13130 Burbank Blvd. Sherman Oaks, CA 91401",(818) 779-5212,,"children with special needs such as autism spectrum disorders, learning disabilities, ADHD, developmental delays, abuse and emotional problems",http://www.thehelpgroup.org,,"Financial Contributions, Volunteer Time, Toys for Toy Drive"
Los Angeles Christian Health Centers,"Provides medical and dental services with clinical service sites in Skid Row, East Los Angeles and in 12 partner locations throughout South Los Angeles County. Volunteers include doctors, nurses, dentists, optometrists, and students from various Los Angeles medical centers.","311 Winston St., Los Angeles, CA 90013",(213) 893-1960,cbarnes@lachc.com,homeless,http://www.lachc.com/,Christian,"Volunteer Time, Clothing Donations, Financial Contributions, Toiletries, Medical Supplies"
Food Forward,This organization goes into people's backyards to pick fruit that will be donated to local food banks. They also collect unsold produce from farmers markets to feed Angelenos in need.,"7412 Fulton Ave., No 3, North Hollywood, CA 91605",(323) 791-5250,max@foodforward.org,"homeless, hungry",http://www.foodforward.org,,Volunteer Time
United Friends of the Children,"United Friends of the Children is a nonprofit organization dedicated to bettering the lives of foster children and to supporting former foster youth in their journey to become successful, independent adults. Through their programs, advocacy efforts, and direct involvement with youth, UFC seeks to be a catalyst for change.","1055 Wilshire Blvd., Suite 1955, Los Angeles, CA 90017",(213) 580-1850,,"foster children, homeless",http://www.unitedfriends.org,,"Volunteer Time, Financial Contributions "
Tree People,"Inspires, engages and supports people to take personal responsibility for the urban environment, making it safe, healthy, fun and sustainable and to share the process as a model for the world.","12601 Mulholland Drive, Beverly Hills, CA 90210",(818) 753-4600,info@treepeople.org,the environment,http://www.treepeople.org/,,"Volunteer Time, Financial Contributions, Tree Dedications, Cars"
National Council of Jewish Women/ Los Angeles,"Inspired by Jewish values, NCJW strives for social justice by improving the quality of life for women, children, and families and by safeguarding individual rights and freedoms.","543 N. Fairfax Ave., Los Angeles, CA 90036",(323) 651 2930,info@ncjwla.org,"Jewish women, children, families ",http://ncjwla.org,Jewish,"Volunteer Time, Clothing, Cars, Thrift Items"
Venice Family Clinic,"Provides free, quality health care to people in need. Their Holiday Literacy Event is Dec. 26-28.","2509 Pico Blvd, Santa Monica, CA",(310) 664-7532,ITrejo@mednet.ucla.edu,pediatric patients,http://www.venicefamilyclinic.org/,,Volunteer Time
Connections for Children: Holiday Gift Program,Help children reach their full potential by supporting families' access to high quality child care and education.,"2701 Ocean Park Blvd., #253, Santa Monica, CA 90405",(310) 452-3325,lisad@cfc-ca.org,"low-income families, children",http://cfc-ca.org/,,Volunteer Time
Los Angeles Christian Health Centers,"Provides quality, comprehensive healthcare to the homeless and underserved in Los Angeles.","311 Winston St., Los Angeles, CA 90013",(213) 893-1960,tantelo@lachc.com,homeless and public housing residents,http://www.lachc.com,,"Volunteer Time, Financial Contributions, Medical Supplies"
The Eli Home,,"1175 N. East St., Anaheim, CA 92805",(714) 300-0600,,"homeless, abused and neglected children and their mothers",http://www.elihome.org,Christian,"Canned Goods, Clothing, Financial Contributions, Car Donations, Christmas Gifts for Moms and Children. Gently Used Items for Resale in Their Thrift Store."
The Children's Lifesaving Foundation,"Dedicated to positively transforming the lives of LA's at-risk, very low-income and homeless youth & families.","1112 Montana Ave., #534, Santa Monica, CA 90403",(310) 450-3701,,"homeless, at-risk youth",http://www.childrenslifesaving.org,,Money
The Gumball Foundation,Foundation forms partnerships with businesses and schools to have kids involved with the Gumball Foundation take over stocking of their vending machines.,"P.O. Box 32211, Los Angeles, CA 90032",,,underprivileged high school kids planning on going to college,http://gumballfoundation.org/,,Money
Lake Ave  Community Foundation Mentoring Program,Acquires and provides resources in support of a wide variety of programs assisting low income and disadvantaged families in Northwest Pasadena.,"712 E. Villa St., Pasadena, CA 91101-1244",(626) 817-4507,,"children, teens",http://www.lakeavefoundation.org/mentoring/process-to-become-a-mentor/,Christian,"Volunteer Time, Financial Contributions, Guitars"
Zooh Corner,Zooh Corner is a San Gabriel-based rabbit rescue organization that fosters orphan rabbits and helps spay and neuter rabbits.,"7262 Rosemead Blvd., San Gabriel CA 91775",,zoohgirl@me.com,"rabbits, rabbit owners",http://www.mybunny.org/index.html,,"Volunteer Time, Financial Contributions"
"Santa Monica-Venice Christmas Run, presented by Harvest Home","Provides a warm, stable environment where women facing a crisis pregnancy can seek refuge.","2600 Barnard Way, Santa Monica, CA 90405",(213) 627-8484,michelle@jive-live.com,pregnant women,http://www.christmasrun.com/,,"Runners, Volunteer Time"
Christian Outreach in Action,Teaches the disadvantaged the skills necessary to reach and sustain stability and self-sufficiency and to prevent homelessness.,"515 East Third St., Long Beach, CA 90802",(562) 432-1440,,children,http://www.coalongbeach.org/,Christian,Elves and Volunteer Time for Dec. 22 Christmas Party
"Arts & Services for Disabled, Inc.","Provides life-long learning, community service and career opportunities through the creative arts for people with disabilities in an environment of warmth, encouragement and respect.","3626 E. Pacific Coast Highway, Long Beach, CA 90804",(562) 982-0247,,individuals with disabilities,http://www.artsandservices.org/,,
Westside Food Bank: Santa Monica pub crawl,"Volunteers will help manage the lines of participants waiting to check in, process preregistered participants, take payments from new participants, distribute wristbands, sell Santa hats and collect donations.","1710 22nd St., Santa Monica, CA 90404",(323) 330-9559,smpcrawl@gmail.com,individuals and families in need,http://www.santamonicapubcrawl.com/,,Volunteer Time 21 & Over Are Needed on Dec. 15.
Esperanza Community Housing Corporation,"Addresses issues of affordable housing, health, education, and economic development in the Figueroa corridor.","2337 S. Figueroa St., Los Angeles, CA 90007",(213) 748-7285,nancy@esperanzacommunityhousing.org,"families,children, women & seniors",http://www.esperanzacommunityhousingcorporation,Latinos,"Volunteer Time, Canned Goods , Clothing Donations, Financial Contributions, Toys (Gifts)"
Jumpstart,Prepares young children through active and intense work with college students and volunteers to start school ready to learn.,"1625 W. Olympic Blvd. No. 1050, Los Angeles, CA 90015",(310) 387-8738,gary.jimenez@jstart.org,young children,http://www.jstart.org,multicultural,"Volunteer Time, Financial Contributions, Car Donations, Toys (Gifts)"
Westside Family Health Center,"Offers excellent health and dental care to poor, uninsured patients in a dignified and comprehensive manner.","1711 Ocean Park Blvd., Santa Monica, CA 90405",(310) 450-4773 x254,cbernstein@wfhcenter.org,"families,children, homeless, vets, women",http://www.wfhcenter.org,multicultural population,"Volunteer Time, Clothing Donations, Financial Contributions, Car Donations"
A Window Between Worlds,Uses art to help end domestic abuse against women and children.,"710 4th Ave., Venice, CA 90291",(310) 396-0317,info@awbw.org,"women, children; victims of domestic abuse",,No,"Volunteer Time, Clothing Donations, Financial Contributions"
Train 4 Autism,"Dedicated to bringing together a community of athletes, physically active, and socially conscious people who are committed to raising awareness and funds for research and treatment for those living with Autism and their families.","904 Silver Spur Rd., No. 373, Rolling Hills Estates, CA 90274",(800) 794-0831,mollyrearick@train4autism.org,families affected by Autism,www.train4autism.org,none,"Volunteer Time, Financial Contributions"
City of Angels Ballet,Dedicated to preserving the quality and integrity of classical ballet.,"3350 Wrightview Place, Studio City, CA 91604",(323) 661-1520,cityofangelsballet@gmail.com,talented youth from some of the most underserved communities in Los Angeles,http://www.cityofangelsballet.org/,,"Donations, Aid in Spreading the Word About the Ngo"
Charitable Children's Guild,"Operates the ""It's A Bargain: Thrift Shop located on the Downtown campus at 2400 South Flower Street.","2400 South Flower St., Los Angeles, CA 90007",(213) 742-1533,,"children, elderly, poor",http://www.orthohospital.org/about_support_CCG.php,UCLA,"Donations, Volunteer Time, Clothes"
