Major group,2014-2015,2015-2016,Percent change,Description
SPED-PRESCHOOL  PROGRAM SERVICES (INCLUDING ITINERANTS),17.78,22.68,0.28,"Provide special education services for children ages 3-5 who have been identified with one of Federal and State defined special education eligibilities. Children are served in the least restrictive environment. Emphasis is placed on the development of language, social emotional, motor and preacademic skills. Families and staff work together to develop an IEP that guides the service delivery for each child. "
INSTRUCTIONAL TECHNOLOGY SUPPORT (VLC),4,5.06,0.27,Resources to support virtual learning.
TEACHER - LIBRARY MEDIA,10.52,13.19,0.25,"Aligns the school library media program, collection, and services with the school curriculum."
SPED-TEACHER-SPECIAL DAY PROGRAM-PRESCHOOL,41.34,51.49,0.25,Special Day Program Preschool Teacher Positions.
SPED-ASSISTIVE TECHNOLOGY,2.14,2.66,0.24,"""Assistive Technology service"" means any service that directly assists a student with a disability in the selection, acquisition, or use of an assistive technology device."
SPED-IMA-EQUIP-MATERIAL,12.88,15.63,0.21,Instructional materials and equipment used to support students with disabilities.
SPED-PROGRAM SPECIALISTS- CERTIFICATED,5.25,6.34,0.21,"Program Specialists plan programs, coordinate curricular resources, and monitor the effectiveness of programs for students with disabilities."
SPED-ADAPTED PHYSICAL EDUCATION,18.94,22.85,0.21,"Adapted Physical Education programs for Special Education students.
Education students."
SPED-SPEECH & LANGUAGE,38.65,46.57,0.2,"School-based Speech Therapy supports the
educational program for students who have a disorder in communication involving articulation, language, fluency and/or voice."
PSYCHOLOGISTS,17.04,20.4,0.2,Provides specialized pupil services for individuals or groups.
TEACHER SUPPORT - REED SETTLEMENT,25.43,30.24,0.19,Resources to improve teacher retention and academic achievement at Reed schools.
FOSTER YOUTH SUPPORT PLAN/FAMILY SOURCE SYSTEM PROPOSAL,9.88,11.68,0.18,Resources to increase academic and support services to Foster Youth.
CLASS SIZE REDUCTION MIDDLE SCHOOLS - MATH & ELA,6,7.01,0.17,Resources to reduce class sizes at middle schools.
SPED-TEACHER-SPECIAL DAY PROGRAM,240.33,277.17,0.15,Special Day Program Teacher Positions.
DATA PROCESSING,7.4,8.5,0.15,"Information Technology (IT) equipment, materials, and software licensing."
SPED-OCCUPATIONAL  & PHYSICAL THERAPY,21.63,24.84,0.15,School physical therapy for special education students.
NURSES,35.66,40.58,0.14,Support health services.
ADULT EDUCATION/ REGIONAL OCCUPATION CENTER/PROGRAMS,130.7,147.9,0.13,Provides career technical education and training to adult students.
COORDINATORS,19.38,21.93,0.13,"Supports instructional needs of various programs and
offices."
CENTRAL OFFICE/EDUCATIONAL SERVICE CENTERS,504.76,570.83,0.13,Resources that support school sites and day to day operations of the District.  Special Education central office is included in the special education categories.
SPED-PASS THROUGH FOR INDEPENDENT CHARTERS,66.78,75.47,0.13,Expenditure account that records Special Education expenditures for fiscally independent charter schools. The amount recorded matches the revenue provided to these charter schools.
INSURANCE PREMIUMS,26.03,29.25,0.12,"Cost of insurance coverage for liability, property, and vehicles."
SPED-NURSING SERVICES,11.22,12.54,0.12,Provide health services to students with disabilities.
MAGNET SCHOOLS RESOURCES,17.66,19.59,0.11,Additional resources for magnet schools and centers.
SPED-TEACHER-RESOURCE SPECIALIST PROGRAM,113.54,125.25,0.1,Resource Specialist Program Teacher Positions.
SPED-ASSISTANTS,309.68,341.48,0.1,Assist teachers with students with disabilities.
SPED-VISUALLY IMPAIRED,5.62,6.13,0.09,The Visually Impaired (VI) program provides services to students with vision impairments.
SPED-LEAST RESTRICTIVE ENVIRONMENT COUNSELORS,1.16,1.26,0.09,LRE Counselors provide counseling services to students with physical disabilities who are eligible for counseling through their IEPs.
REASONABLE ACCOMMODATIONS,4.69,5.08,0.08,"Resources provided to employees with disabilities. Resources include Education Aides, Teacher Assistants, Sign Language Interpreters, and Special Education Assistants."
SPED-DONATIONS,1.19,1.28,0.08,Support for students with disabilities provided to various schools and offices by donors.
SPED-NON PUBLIC SERVICES,163.36,175.1,0.07,Payments to certified non-District nonpublic schools/agencies for services provided to district students with disabilities.
SPED-OPTIONS,8.43,9.03,0.07,Special Education services at Options Schools.
"CERTIFICATED SUPPLEMENTAL TIME (X, Z, & PROFESSIONAL DEVELOPMENT)",35.59,38.08,0.07,Resources for additional certificated assignments.
UTILITIES,126.84,135.58,0.07,"Electrical, water, and gas expenses for schools."
EARLY CHILDHOOD DEVELOPMENT,127.8,136.32,0.07,Early Childhood Development.
SPED-CAREER & TRANSITION PROGRAM,11.65,12.42,0.07,"The District Office of Transition Services assists in the planning and delivery of transition services for all students with disabilities, beginning at age 14 (or younger, if appropriate) to prepare them for transition from school to adult living."
TEACHERS,1989.33,2113.92,0.06,Teacher positions.
LIBRARY AIDES,12.42,13.19,0.06,Provides assistance to students and teachers in a school library media center.
FACILITIES MAINTENANCE/OPERATIONS,47.81,50.54,0.06,"Building & Grounds Workers, roving gardeners, window washing crew, landscaping, tree trimming, pest control, repair/replacement  of fire extinguishers, repair of lighting for auditorium and gym."
ADMINISTRATORS  (ASSISTANT PRINCIPAL - SECONDARY COUNSELING SERVICES),9.68,10.22,0.06,Administrators of counseling services for school sites.
SPED-ASSISTANT PRINCIPAL ELEMENTARY INSTRUCTIONAL SPECIALIST,24.14,25.39,0.05,Provide support for Special Education compliance at elementary schools.
NON-FILMING RENTAL,5.92,6.22,0.05,Funds received  from non filming rental. School resources yet to be allocated.
FINANCIAL MANAGERS,9.86,10.35,0.05,Manages and advises on financial matters and accounting procedures pertaining to student body funds.
CAFETERIA,351.12,366.08,0.04,Operational support of the Cafeteria program (including grants and Breakfast in the Classroom Incentive).
JUNIOR RESERVE OFFICER TRAINING CORPS (JROTC),5.3,5.52,0.04,Teacher positions for the JROTC program.
PARAPROFESSIONAL  TEACHER TRAINING,0.82,0.85,0.04,A paraeducator (instructional assistant/aide) career ladder program that leads to a teacher preparation program.
SPED-TRANSPORTATION,65.12,67.44,0.04,Transportation for students with disabilities.
SPED-EDUCATIONALLY RELATED MENTAL HEALTH SERVICES,40.71,42.03,0.03,"Provide educationally related counseling services that may include individual counseling, group counseling, family consultation, and/or family support as needed."
INTERNAL SERVICE FUNDS,1108.22,1141.96,0.03,"Payments and claims for Health and Welfare Fund and Workers Compensation
Workers' Compensation."
TEACHER ACADEMIC DIFFERENTIALS,0.99,1.02,0.03,"Supplemental pay for coordinating academic activities
(i.e. Yearbook, Musicals, Decathlon)."
ACCELERATED ACADEMIC LITERACY,4.06,4.18,0.03,Class size reduction literacy classes for secondary schools.
HOUSEKEEPERS,5.12,5.27,0.03,Performs general housekeeping duties in an early education center. 
SCHOOL POLICE,57.39,58.98,0.03,Safety and security for schools and district property.
LOCAL INITIATIVE SCHOOL,1.11,1.14,0.03,Local School Initiative support resources.
RESERVE FOR NEW GRANTS,95.72,98.27,0.03,Resources for pending grants.
PHYSICAL EDUCATION TEACHER INCENTIVE,1.64,1.67,0.02,Provides funding to hire credentialed physical education teachers in selected schools serving grades kindergarten and first through eight.
DONATIONS,28.99,29.5,0.02,Donations by individuals or groups to schools.
CATEGORICAL PROGRAM ADVISORS,28.72,29.2,0.02,Supports categorical program needs at school sites.
COUNSELORS,57.57,58.51,0.02,Student or youth counseling and/or guidance. 
SUBSTITUTES-DAY  TO DAY AND LONG-TERM,70.49,71.6,0.02,"Replacement resources for absent teachers. Includes funding for long-term substitutes, long-term clerical substitutes, and Contract Pool Teachers."
ADVANCED PLACEMENT FEE,2.32,2.34,0.01,"Reimbursement from students to take Advanced
Placement tests."
"EARLY CHILDHOOD DEVELOPMENT, INTER-FUND TRANSFER",40.69,41,0.01,"Income and expenditures initially recorded in the General Fund and then transferred, in accordance with accounting requirements, to a special fund."
TELEPHONE,21.9,22.06,0.01,Telephone services for all schools.
HEALTH SERVICES,30.95,31.14,0.01,"Personnel and operational expenses of Student Health
& Human Services Division (i.e., Physician, Coordinator- Nurses, PSA, Audiometrists & Student Discipline,
clerical support, mileage, nurse substitute). Mandated nursing services, attendance recovery, additional psychologist support."
TRANSPORTATION,81.75,81.93,0,Bus transportation for all District traveling program students including magnet.
CUSTODIANS,144.44,144.61,0,Supports and maintains the cleanliness of school sites and offices.
ACADEMIC DECATHLON,0.58,0.58,0,"Differential supplemental salary payment (1 per participating school) for Academic Decathlon Coach, fees for participation in academic decathlon, supplies, and travel expenses."
ACCREDITATION,0.32,0.32,0,"Western Association of Schools & Colleges reimbursement for school applications, annual membership fees, visiting committee members expenses, and school expenses (coordinatorship, overtime, substitutes, & reprographics)."
ADMINISTRATOR STIPENDS,0.2,0.2,0,Stipends for school administrators.
DIFFERENTIALS/LONGEVITIES,7.83,7.83,0,"Supplemental salary resources for years of service, and degrees per collective bargaining."
EVALUATION,0.23,0.23,0,Training instructional personnel in a robust and detailed way to view instruction.
FIRE DAMAGE,2.46,2.46,0,Repair fire damage.
LIABILITY RESERVE,15.65,15.65,0, Districtwide liability. 
RUBBISH/TRASH DISPOSAL,6.86,6.86,0,Trash disposal for all schools and offices.
SALARY OVERPAYMENT,3,3,0,Estimated salary overpayments of District personnel.
SPECIAL EDUCATION INTERDISTRICT EXCESS COST PAYMENT,0.65,0.65,0,Payments for the excess cost of LAUSD students with disabilities attending other Districts.
SPED-ALLOCATION  TO SCHOOLS FOR COMPLIANCE,6.09,6.09,0,Allocation for support of Special Education Compliance based on active Individualized Education Programs (IEPs) in Welligent.
SPED-IMA ALLOCATION TO SCHOOLS,1.89,1.89,0,Allocation to support and/or supplement the core instructional program and operations for students with disabilities.
SPED-TEMPORARY  PERSONNEL ACCOUNT,0.23,0.23,0,Resources to support the instructional program and operations at Special Education Centers.
UTLA RELEASE TIME,0.25,0.25,0,Authorized release time for teachers.
WATER/TOXIC TESTING/FEES & PERMIT (CA CLEAN AIR),3.52,3.52,0,Air Quality Management district fees. 
DEBT SERVICE,927.37,926.9,0,"Payment for principal and interest for Certificate of
Participation (COPs) and other debt instruments."
CLASS SIZE REDUCTION HIGH SCHOOLS - MATH & ELA,7,6.97,0,Resources to reduce class sizes at senior high schools.
AFTERSCHOOL PROGRAMS,97.85,97.32,-0.01,Afterschool programs.
MILEAGE & TUITION REIMBURSEMENT,1.6,1.59,-0.01,Mileage and Tuition reimbursement due to a bargaining unit agreement.
"ADMINISTRATORS  (PRINCIPALS
& ASSISTANT PRINCIPALS)",148.5,147.37,-0.01,School site instructional leaders and operations administrators.
VEHICLE REPAIRS/REPLACEMENT,12.04,11.94,-0.01,Vehicle maintenance expenditures for school buses.
CUSTODIAL SUPPLIES,4.98,4.91,-0.01,Supplies to support the maintenance and cleanliness of school sites.
CAMPUS AIDES,34.42,33.85,-0.02,Campus aides for selected schools.
SPED-CENTRAL OFFICE,19.9,19.57,-0.02,Resources that support Special Education needs at school sites and day to day operations of the District.
LUMP SUM VACATION,12.92,12.68,-0.02,Lump sum vacation and other benefits.
SPED-TEACHER-SUPPL  & SUB TIME/RENORMING/PROF DEVELOPMENT,9.37,9.09,-0.03,"Resources for additional teacher assignments, replacement for absent teachers, renorming, and professional development."
EARLY RETIREMENT INCENTIVE,9.62,9.3,-0.03,"Retirement bonus for employees paid during the 1992-
93 school year."
PERSONNEL WITH PENDING CASES,21.19,20.47,-0.03,Personnel housed pending personnel action.
"CAFETERIA, INTER-FUND TRANSFER",63.12,60.8,-0.04,"Income and expenditures initially recorded in the General Fund and then transferred, in accordance with accounting requirements, to a special fund."
SPED-PSYCHOLOGISTS,31.85,30.47,-0.04,Provide assessment and counseling services to students with disabilities.
FILMING,5.29,5.05,-0.05,Funds received  from Filming and Photography. School resources yet to be allocated.
CLERICAL SUPPORT,136.86,130.04,-0.05,School site clerical positions (i.e. School Administrative
GENERAL SUPPLIES,8.71,8.21,-0.06,School site resources to support the instructional program and operations.
COACHES INSTRUCTIONAL,38.3,36.04,-0.06,Supports instructional needs at school sites.
STUDENT HEALTH AND HUMAN SUPPORT PERSONNEL,9.12,8.35,-0.08,"Provides health, mental health, and learning support services to students."
TEACHER ASSISTANTS,41.72,37.99,-0.09,Provides reinforcement and support of instruction under the direct supervision of a highly qualified classroom teacher.
SPED-INFANT PROGRAM SERVICES,4.7,4.26,-0.09,"Provide early intervention and related services for children birth to three years of age identified with a hearing loss, visual impairment, or severe orthopedic impairment."
CIVIC CENTER,2.66,2.4,-0.1,Rental of district facilities by community groups.
IMA-LIBRARY FINES,0.71,0.64,-0.1,Fees and fines for lost and damaged books.
PROFESSIONAL DEVELOPMENT,1.2,1.08,-0.1,"Resources to support the professional development of district employees.
District employees."
EMPLOYEES LOANED TO AGENCIES/OFFICE,4.56,4.04,-0.11,"District employees loaned to other entities. The
District is reimbursed for salaries."
TEMPORARY PERSONNEL ACCOUNT,12.43,10.76,-0.13,Resources to support the instructional program and operations.
CAPITAL FUNDS,2633.87,2272.6,-0.14,Resources for capital projects.
SPED-PRIVATE SCHOOLS SUPPORT,1.64,1.35,-0.18,Provide support and collaboration for private school teachers who work with students with disabilities. 
PARENT INVOLVEMENT,20.93,16.81,-0.2,"Parent support through workshops, trainings, communications, and school involvement."
OPTIONS PROGRAM,83.53,66.85,-0.2,"Options schools are designed to provide students a smaller, more personalized education supported by knowledgeable, supportive educators working collaboratively."
SPED-ADMINISTRATORS-SPED CENTERS,3.68,2.94,-0.2,Instructional leaders at Special Education Centers.
COUNSELING AIDES,0.84,0.67,-0.2,Assist counselors with student counseling. 
SPED-ASSISTANT OVERTIME-X & Z TIME/RENORMING,11.42,9.1,-0.2,"Resources for additional Special Education Assistant assignments, replacement for absent assistants, and renorming."
RESTORATIVE JUSTICE PROGRAM,4.09,2.95,-0.28,Program to help improve student behavior and provide alternatives to suspensions and expulsions.
FACILITIES NON-BOND REQUIREMENTS,3.55,2.53,-0.29,General fund resources for facilities projects.
TECHNOLOGY,4.25,2.97,-0.3,Technology infrastructure and support for schools.
TEACHERS - CONTRACT POOL,44.04,30.38,-0.31,Contract pool teachers. These teachers may also serve as day-to-day and long-term substitutes.
TESTING,2.36,1.58,-0.33,"Standards and assessment testing, and testing coordinator differentials for select schools."
BEGINNING TEACHERS SUPPORT AND ASSESSMENT (BTSA),4.9,3.1,-0.37,A State-approved program allowing teachers who have a Preliminary Teaching Credential to obtain a Professional Clear Teaching Credential.
SCHOOL READINESS LANGUAGE DEVELOPMENT PROGRAM,35.55,22.02,-0.38,An oral language program that prepares students for kindergarten.
SPED-DEAF AND HARD OF HEARING,12.96,7.94,-0.39,The Deaf and Hard of Hearing program serves eligible students with a documented hearing loss.
INSTRUCTIONAL AIDES,5.69,3.33,-0.41,"Assist certificated employees in developing and presenting specialized educational materials and in conducting instructional activities requiring specialized education, training, or vocational experience."
CUSTODIAL OVERTIME & RELIEF,0.82,0.42,-0.49,Resources for additional custodial assignments. 
INTER-FUND TRANSFER MEDICARE PART D,9.2,4.6,-0.5,"Income and expenditures initially recorded in the General Fund and then transferred, in accordance with accounting requirements, to a special fund."
GIFTED AND TALENTED PROGRAM (GATE),2.57,1.28,-0.5,Supports staff training for employees who work with gifted students.
TARGETED SUPPORT FOR MIDDLE AND SPAN SCHOOLS,7,3.48,-0.5,Resources to support middle and span schools.
"CLASSIFIED OVERTIME, X & Z TIME",1.54,0.75,-0.51,Resources for additional classified assignments.
SPED-CLERICAL SUPPORT-SPED CENTERS,8.68,3.73,-0.57,"Clerical Positions at Special Education Centers (i.e. School Administrative Assistant, Office Technicians)."
SPED-PSYCHIATRIC  SOCIAL WORKERS,6.64,2.33,-0.65,"Provide case management; individual, group, and family therapy, and mental health consultation to special education population."
ENGLISH LEARNER IMPLEMENTATION  AND SUPPORT,19.8,6.3,-0.68,Support for English Learner students to improve academic achievement.
ENERGY REBATE CONSERVATION,3.08,0.9,-0.71,Improvement of buildings and job-cost materials.
PROP 39 CHARTER SCHOOL CO- LOCATION,8.32,2.4,-0.71,Charter school fees for district provided services.
SPED-TEACHER-ITINERANTS,7.65,0.96,-0.87,Special Education Itinerant Teacher Positions.
SUMMER SCHOOL-CREDIT RECOVERY,12,1,-0.92,To fund the summer school program for credit recovery courses.
ADVISORS,38.87,2.06,-0.95,Supports instructional needs of various programs and offices.
A-G Implimentation,0,15.02,NA,"Resources to support Board adoption of Resolution
070-14/15, Equity on A-G: reaffirming Our commitment to A-G Life Preparation for All"
4 YEAR OLD TK ACADEMIC PROGRAM,NA,7,NA,"Differential supplemental salary payment (1 per participating school) for Academic Decathlon Coach, fees for participation in academic decathlon, supplies, and travel expenses."
ALL CITY MARCHING BAND,NA,0.15,NA,To provide performance opportunities for LAUSD high school musicians and auxiliary unit programs.
ANNUAL COST INCREASES FOR POSITIONS,6.24,NA,NA,Resources to fund health and welfare and retiree benefit cost increases.
CALPERS EMPLOYER PAID MEMBER CONTRIBUTION,17.65,NA,NA,Agreement with bargaining units to eliminate Employer Paid Member Contribution to CalPERS in return for a salary adjustment of an equivalent percentage.
CAP AND GOWN,NA,2,NA,Resources to provide caps and gowns to graduating seniors
CAREER TECHNICAL EDUCATION,NA,0.8,NA,A program of study that involves a multiyear sequence of courses that integrates core academic knowledge with technical and occupational knowledge to provide students with a pathway to postsecondary education and careers.
COMMON CORE STATE STANDARDS,91.39,NA,NA,Funding for the implementation of common core standards. 
CORE WAIVER,61.08,NA,NA,Waiver from No Child left behind through the California office to reform education
COUNSELING SUPPORT,NA,13,NA,Resources to support academic career and college counseling
COUNSELORS - CONTRACT ,NA,0.97,NA,Contract pool counselors. 
DIPLOMA PROJECT,NA,2,NA,"Supports efforts to increase graduation rates at schools with highest dropout rates, including a parent enagement component on how to support learning at hoem and at school."
DUAL LANGUAGE PROGRAM,NA,6.2,NA,"Resources to support students in two-way immersion programs receiving instruction in English and a
target language in the same classroom to develop academic proficiency in both languages."
EARLY CHILDHOOD AND FAMILY LITERACY GRANTS,0.25,NA,NA,Resources to support early childhood and family literacy programs. 
ESTIMATED CARRYOVER,NA,35.52,NA,Projected unspent resources. 
FAMILY SOURCE SYSTEM,NA,1.26,NA,Focuses on engaging parents and students with resources to improve academic achievement and to lift families out of poverty
HOMELESS YOUTH ACHIEVEMENT PLAN,NA,1.8,NA,"Provide support as a district liasons for Homeless students and families to ensure timely enrollment, advocate for school stability, and provide supplemntal services and resources as needed."
INDIRECT COST,NA,-69.25,NA,Elements of cost necessary in the operation of a District or in the performance of a service that are such a nature that the amount applicable to each accounting unit cannot be determined readily.
INTER FUND TRANSFERS,NA,82.42,NA,"Income and expenditures initially recorded in the General Fund and then transferred, in accordance with accounting requirements, to a special fund."
LCFF COUNTY OFFICE TRANSFERS ,NA,6.7,NA,Reimbursement to county offices of education for district-referred students. 
PILOT SCHOOL STARTUP FUNDS,0.5,NA,NA,Start-up costs for new pilot schools.
RESERVE FOR APPROVED SALARY INCREASES,NA,146.29,NA,Resources for salary increases. 
SCHOOL ADJUSTMENT FOR CERTIFIED UNDUPLICATED COUNTS,16.52,NA,NA,Resources for schools based on certified unduplicated counts in the fall of the school year.
SPECIAL EDUCATION ASSISTANTS,0.05,NA,NA,Assist teachers with students with disabilities.
SPED-ASSISTANTS  LONGER HOURS,10.7,NA,NA,Support for Special Education Assistants to extend work hours.
SPED-INCLUSION PROGRAM,NA,3.75,NA,Resources to support students with disabilities in general education settings. 
SPED-INDIRECT COST,NA,46.83,NA,Elements of cost necessary in the operation of a District or in the performance of a service that are such a nature that the amount applicable to each accounting unit cannot be determined readily.
SPED-SUPPLEMENTAL  INCREASE,17.55,NA,NA,"Support for special education students that are English Learner, Low-Income, and/or Foster Care to improve academic achievement."
STUDENT ENGAGEMENT,NA,0.25,NA,Resources to support student engagement as specified under the Local Control Funding Formula. 
STUDENT ENROLLMENT PLACEMENT ASSESSMENT CENTER ,NA,0.81,NA,"Provides assistance for families with special stduent populations such as unaccompanied youth, homeless, and foster youth that need extra help with the LAUSD enrollment process, beyond  the school's resources. "
"SUPPORT SERVICES (PSAs, PSWs)",13.14,NA,NA,Maintain 12-13 staffing levels for support personnel.
TARGETED STUDENT POPULATION,NA,161.8,NA,"Resources to support the academic achievement of low-income, english learner, foster youth and other at-risk populations as required under the local control funding formula. "
